batch,Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
2,0,-0.577684808,0.696064528,0.342486825,-0.111755514,-0.763835205,-0.114938139,0.311476879,0.27738969,0.393763602,-1.232269678
2,0,-0.898033201,-0.304039479,0.847231769,-0.232867089,-0.619518123,-0.857195784,0.045105369,-0.298254374,-0.39537601,-0.766096279
2,1,-0.61479005,1.283224536,0.688362561,-0.232415594,0.332771872,-0.283722988,-0.348811903,-0.236941153,-1.222633903,-0.305746851
2,1,1.728324882,-0.151501995,-1.973149711,-0.675065301,0.773127074,-1.135411746,-0.545171218,1.932478543,-1.623263743,-0.97968406
2,1,1.938838396,0.605772664,-2.239935062,-0.201695582,0.41632892,-0.376874882,-1.273878211,0.27536333,-1.415341974,0.388064756
1,0,-0.209991665,-0.411946958,0.265392646,0.119880507,-1.008831822,-0.522884213,-0.046324028,-0.401120659,-0.708874206,-0.991633446
1,0,-0.494475288,-0.059015504,0.729748736,-0.01308592,-0.259582144,0.168657104,0.505716529,-0.610620644,0.670482466,-0.245002439
2,0,-0.612102467,-0.469447892,0.738024072,0.404148478,-0.131093448,0.912371557,-0.041747477,-0.304651942,0.492430903,-1.077500789
2,0,-0.456299881,-2.05578778,0.235848489,0.15845834,-1.166291271,0.401911882,1.664332684,0.220006374,0.741447468,-0.367510994
1,0,1.446431571,-0.33922586,-1.05991578,0.191350573,0.119737119,-0.160691369,-0.323653829,-0.342462664,-0.953235771,-0.66161391
1,1,0.168806195,0.250853411,-0.029181852,-0.100662968,-0.162001115,0.716355751,-0.464987325,-0.828158927,-0.1102471,0.760119574
2,0,0.296334517,-0.295164899,-0.271115035,-0.310112518,-0.109279033,-0.542701716,-0.014805613,-0.404564085,-0.860612492,0.059153419
2,0,-0.371964395,-3.574800646,-0.159387791,-2.324907546,-0.283933523,0.411415924,2.405324043,-0.28898843,3.148105787,3.688761188
2,0,-0.539990076,-3.554906148,0.329380762,1.650431528,-0.736881227,0.669798662,1.677447561,-1.136646754,3.731216838,-0.462312487
2,0,-1.039851578,-2.18073643,0.802442702,-0.217175979,-1.216026137,-0.38047883,1.45375113,-0.197535677,1.428406147,-0.622983831
