V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0.2264648467,-0.2172405984,0.3997841004,-0.0147623418,-0.6548372032,-0.8440573798,-0.3269055420,-0.1885208069,-0.0678845548,-0.4507939102
-0.0071500915,0.9119338627,-0.8560848944,-0.3416738950,1.2484824444,0.5444178285,1.1034144850,-0.8152661405,0.0986827025,0.6279219185
-0.1833922133,-0.6704444157,0.9358000662,0.1025179860,-0.5776499460,-1.1851960055,0.1750771470,-0.5147819241,-0.1825854458,-0.0325984426
-0.0069997310,0.6503136225,-0.6820899711,-0.8258281953,-0.1293776426,1.4390955407,1.0202605944,0.0985135601,0.1050210067,1.3933250220
-0.0692560367,-1.5109850431,1.7319475479,1.1314738616,-0.6948830102,-0.7634717293,-0.1310107280,0.1328969055,-2.1641238267,0.3866883063
0.2531560525,0.8214574885,-0.9750171897,-0.2125318986,0.7795358724,-0.3323796523,0.1586932934,-0.3312265004,0.3444195450,-0.3787628897
0.2359465864,-0.7147572866,0.5353892004,0.3590539387,-0.2250539001,-1.1883273724,-0.3986189645,-1.4217059787,0.2486260935,-0.0659593675
0.2542635326,0.9170299480,-1.0933473949,-0.3164730103,0.5621499440,0.7013939436,-0.1573178777,-1.0362561001,0.8108435865,0.9748777061
0.2532149972,0.6382997487,-0.6431443773,-0.6955031297,0.7355880477,0.1823606167,-1.4003858068,0.2157283245,0.6012862965,0.7457072516
-0.0109064304,0.9555654428,-0.7655749414,0.0743692889,-0.8192693417,-0.0277767406,0.2460574257,-0.2297815508,0.5117534678,-1.1565413299
-0.0093517929,0.6163752772,-0.3691894288,-0.0913238143,0.1003279163,-0.1666203229,-0.0536466193,-0.2307712398,0.4765443939,-0.5157597620
0.0921310770,0.5144877159,-0.3349675800,0.1357572757,-0.2263025257,-0.6149101816,-0.2973419111,-0.6802204359,-0.2764241383,-0.8450539104
0.0502699194,-0.6662862224,0.8439369082,0.0951146978,-0.6373518607,-0.3902578397,-0.1276458265,0.2863844000,-1.1731153121,-0.5229975949
0.0923453798,-0.0177986083,0.0155352900,-0.0952065292,0.1589140643,-0.7958322609,-1.3585023344,-0.7809091507,-0.4593701068,-0.5336647670
0.1055868966,-0.1281954192,0.0663139550,-0.6320901098,1.2830411802,-1.2390226299,-0.0266055861,-0.1802691406,1.2885515363,-4.2373392274
0.0711473902,-0.3769690802,0.6055242184,0.4449109219,-0.5052750952,-0.8806962035,-0.0811532148,-0.4786511049,0.0398639820,-2.9148504921
0.2469227414,0.9290299196,-0.8027833864,-0.8376388632,-0.6930197917,-0.4055479885,1.0061342331,0.2562022593,1.0636133181,-0.1576098231
